Assists,Attacking scrum win,Average points,Breakdown steal,Club,Conceded penalty,Conversion,Defenders beaten,Drop goal,ID,Kick 50-22,Kicks recovered,Lineout steal,Man of the match,Matches played,Metres carried,Name,Offloads,Penalty,Position,Position Name,Red cards ,Tackles,Try,Yellow cards
,,,,France,,,,,189190,,,,,,,M. Lamothe,,,13,Hooker,,,,
,,,,France,,,,,186184,,,,,,,J. Brennan,,,11,Second Row,,,,
,,,,France,,,,,129212,,,,,,,R. Buros,,,6,Back Three,,,,
,,,,France,,,,,243604,,,,,,,G. Drean,,,6,Back Three,,,,
,,,,France,,,,,249986,,,,,,,N. Nene,,,7,Centre,,,,
,,,,Ireland,,,,,197246,,,,,,,T. Stewart,,,13,Hooker,,,,
,,,,Ireland,,,,,229863,,,,,,,C. Izuchukwu,,,11,Second Row,,,,
,,,,Ireland,,,,,159083,,,,,,,T. Farrell,,,7,Centre,,,,
,,,,Ireland,,,,,175150,,,,,,,R. Baloucoune,,,6,Back Three,,,,
,,,,Ireland,,,,,188115,,,,,,,H. Byrne,,,8,Fly Half,,,,
,,,,Italy,,,,,110891,,,,,,,S. Varney,,,9,Scrum Half,,,,
,,,,Italy,,,,,201405,,,,,,,G. da Re,,,8,Fly Half,,,,
,,,,Italy,,,,,206390,,,,,,,P. Dimcheff,,,13,Hooker,,,,
,,,,Scotland,,,,,171323,,,,,,,J. Gray,,,11,Second Row,,,,
,,,,Scotland,,,,,180778,,,,,,,K. Rowe,,,6,Back Three,,,,
,,,,Scotland,,,,,129286,,,,,,,D. Cherry,,,13,Hooker,,,,
,,,,Scotland,,,,,149746,,,,,,,S. McDowall,,,7,Centre,,,,
,,,,Scotland,,,,,136509,,,,,,,F. Burke,,,8,Fly Half,,,,
,,,,Wales,,,,,118619,,,,,,,S. Costelow,,,8,Fly Half,,,,
,,,,Wales,,,,,182170,,,,,,,R. Elias,,,13,Hooker,,,,
,,,,England,,,,,111794,,,,,,,T. Dan,,,13,Hooker,,,,
,,,,England,,,,,109648,,,,,,,S. Atkinson,,,7,Centre,,,,
,,,,England,,,,,170455,,,,,,,G. Fisilau,,,10,Back Row,,,,
,,,,England,,,,,175826,,,,,,,J. Kenningham,,,10,Back Row,,,,
,,,,France,,,,,124262,,,,,,,A. Fischer,,,10,Back Row,,,,
,,,,France,,,,,174159,,,,,,,D. Priso,,,12,Prop,,,,
,,,,France,,,,,144833,,,,,,,T. Daubagna,,,9,Scrum Half,,,,
,,,,France,,,,,223308,,,,,,,A. Grandidier Nkanang,,,6,Back Three,,,,
,,,,France,,,,,244152,,,,,,,T. Matiu,,,10,Back Row,,,,
,,,,France,,,,,250067,,,,,,,F. Brau-Boirie,,,7,Centre,,,,
,,,,Ireland,,,,,224426,,,,,,,T. O'Toole,,,12,Prop,,,,
,,,,Ireland,,,,,176354,,,,,,,N. Doak,,,9,Scrum Half,,,,
,,,,Ireland,,,,,243648,,,,,,,E. Edogbo,,,11,Second Row,,,,
,,,,Ireland,,,,,237244,,,,,,,J. Postlethwaite,,,7,Centre,,,,
,,,,Italy,,,,,174824,,,,,,,G. Zilocchi,,,12,Prop,,,,
,,,,Italy,,,,,153725,,,,,,,P. Odogwu,,,6,Back Three,,,,
,,,,Italy,,,,,216977,,,,,,,A. Izekor,,,10,Back Row,,,,
,,,,Italy,,,,,159960,,,,,,,M. Gallagher,,,6,Back Three,,,,
,,,,Italy,,,,,238037,,,,,,,D. Odiase,,,10,Back Row,,,,
,,,,Italy,,,,,207699,,,,,,,D. Mazza,,,7,Centre,,,,
,,,,Italy,,,,,238030,,,,,,,S. Locatelli,,,10,Back Row,,,,
,,,,Scotland,,,,,153525,,,,,,,R. Sutherland,,,12,Prop,,,,
,,,,Scotland,,,,,250743,,,,,,,F. Douglas,,,10,Back Row,,,,
,,,,Scotland,,,,,100557,,,,,,,G. Warr,,,9,Scrum Half,,,,
,,,,Wales,,,,,125247,,,,,,,O. Watkin,,,7,Centre,,,,
,,,,Wales,,,,,224395,,,,,,,R. Davies,,,11,Second Row,,,,
,,,,Wales,,,,,197546,,,,,,,J. Hawkins,,,7,Centre,,,,
,,,,Wales,,,,,214124,,,,,,,J. Botham,,,10,Back Row,,,,
,,,,Wales,,,,,216823,,,,,,,O. Cracknell,,,10,Back Row,,,,
,,,,Wales,,,,,119506,,,,,,,R. Morgan-Williams,,,9,Scrum Half,,,,
,,,,Wales,,,,,165885,,,,,,,G. Hamer-Webb,,,6,Back Three,,,,
,,,,Wales,,,,,233245,,,,,,,L. Hennessey,,,7,Centre,,,,
,,,,England,,,,,124901,,,,,,,A. Clark,,,11,Second Row,,,,
,,,,England,,,,,187951,,,,,,,E. Iyogun,,,12,Prop,,,,
,,,,England,,,,,239292,,,,,,,B. Sela,,,12,Prop,,,,
,,,,France,,,,,202570,,,,,,,T. Staniforth,,,11,Second Row,,,,
,,,,France,,,,,229852,,,,,,,T. Tatafu,,,12,Prop,,,,
,,,,Ireland,,,,,254559,,,,,,,B. Bohan,,,12,Prop,,,,
,,,,Scotland,,,,,172959,,,,,,,D. Rae,,,12,Prop,,,,
,,,,Scotland,,,,,207013,,,,,,,A. Craig,,,11,Second Row,,,,
,,,,Wales,,,,,196875,,,,,,,F. Thomas,,,11,Second Row,,,,
,,,,Wales,,,,,167563,,,,,,,S. Wainwright,,,12,Prop,,,,
