Assists,Attacking scrum win,Breakdown steal,Club,Conceded penalty,Conversion,Defenders beaten,Drop goal,ID,Kick 50-22,Kicks recovered,Lineout steal,Man of the match,Metres carried,Minutes played,Name,Offloads,Penalty,Position,Position Name,Pts,Red cards ,Tackles,Try,Yellow cards,gameweek
,,,Scotland,,,,,152866,,,,,,,M. Walker,,,12,Prop,,,,,,1
,,,Scotland,,,,,100557,,,,,,,G. Warr,,,9,Scrum Half,,,,,,1
,,,Wales,,,,,125247,,,,,,,O. Watkin,,,7,Centre,,,,,,1
,,,Wales,,,,,202399,,,,,,,K. Assiratti,,,12,Prop,,,,,,1
,,,Wales,,,,,119506,,,,,,,R. Morgan-Williams,,,9,Scrum Half,,,,,,1
,,,Wales,,,,,165885,,,,,,,G. Hamer-Webb,,,6,Back Three,,,,,,1
,,,Scotland,,,,,237253,,,,,,,E. Ferrie,,,10,Back Row,,,,,,1
,,,Scotland,,,,,207013,,,,,,,A. Craig,,,11,Second Row,,,,,,1
,,,Scotland,,,,,252532,,,,,,,S. Stephen,,,13,Hooker,,,,,,1
,,,Scotland,,,,,172959,,,,,,,D. Rae,,,12,Prop,,,,,,1
,,,England,,,,,163209,,,,,,,G. Kloska,,,12,Prop,,,,,,1
,,,Wales,,,,,196875,,,,,,,F. Thomas,,,11,Second Row,,,,,,1
,,,England,,,,,124901,,,,,,,A. Clark,,,11,Second Row,,,,,,1
,,,England,,,,,187951,,,,,,,E. Iyogun,,,12,Prop,,,,,,1
,,,France,,,,,202570,,,,,,,T. Staniforth,,,11,Second Row,,,,,,1
,,,Ireland,,,,,254559,,,,,,,B. Bohan,,,12,Prop,,,,,,1
,,,Italy,,,,,107059,,,,,,,M. Riccioni,,,12,Prop,,,,,,1
,,,Scotland,,,,,161208,,,,,,,A. Hepburn,,,12,Prop,,,,,,1
,,,Wales,,,,,167563,,,,,,,S. Wainwright,,,12,Prop,,,,,,1
,7,2,Scotland,,,,,187820,,,,,5,80,R. Darge,,,10,Back Row,38.0,,21,,,2
,6,,Wales,,,3,,119132,,,,,53,80,A. Wainwright,,,10,Back Row,28.0,,11,,,2
,6,,Wales,1,,1,,235183,,,,,10,80,A. Mann,1,,10,Back Row,27.0,,17,,,2
,6,1,Wales,1,,,,237272,,,,,8,80,D. Jenkins,,,11,Second Row,21.0,,11,,,2
,5,,Ireland,,,1,,105748,,,,,31,80,J. Conan,,,10,Back Row,43.0,,18,1,,2
,5,1,Italy,,,3,,161390,,,1,,28,80,M. Zuliani,1,,10,Back Row,41.0,,14,,,2
1,5,1,Ireland,1,,4,,167132,,,,,35,80,C. Doris,,,10,Back Row,38.0,,14,,,2
,5,1,Italy,,,,,120191,,,,,2,80,M. Lamaro,,,10,Back Row,22.0,,12,,,2
1,5,,Scotland,,,,,159599,,,,,12,40,M. Fagerson,,,10,Back Row,19.0,,9,,,2
